,Nom,Né le,Département de naissance,Département de mort
3305,Marius Patinaud,11 décembre 1910,Loire,Loire
3306,Jean Pascal,7 décembre 1910,Côtes,Morbihan
3307,"Robert, Jean Verdier",28 novembre 1910,Ariège,Lozère
3308,Jeannette Vermeersch-Thorez,26 novembre 1910,Nord,Var
3309,Robert Prigent,24 novembre 1910,Nord,Paris
3310,Adrien Salvetat,23 novembre 1910,Hérault,Inconnu
3311,Henri Guissou,17 novembre 1910,Inconnu,Inconnu
3312,Jean-Marcel Jeanneney,13 novembre 1910,Seine,Paris
3313,Ahmed Francis,12 novembre 1910,Inconnu,Inconnu
3314,Marcel Vauthier,6 novembre 1910,La,La
3315,"Henri, Albert, André Duvillard",3 novembre 1910,Haute-Saône,Paris
3316,Georges Rastel,28 octobre 1910,Inconnu,Inconnu
3317,Hubert Balança,27 octobre 1910,Lieu,Inconnu
3318,Pierre Picard,14 octobre 1910,Seine,Paris
3319,"Pierre, Hector Dominjon",8 octobre 1910,Ain,Ain
3320,Messaoud Hawes Boukadoum,6 octobre 1910,Lieu,Inconnu
3321,Robert Garraud,4 octobre 1910,Haute-Vienne,Var
3322,Alfred Clerget,3 octobre 1910,Haute-Saône,Haute-Saône
3323,Louis Le Sénéchal,2 octobre 1910,Inconnu,Inconnu
3324,Jean-Eric Bousch,30 septembre 1910,Moselle,Moselle
3325,Jehan Faulquier,30 septembre 1910,Nièvre,Nièvre
3326,"Robert, Marie Laurens",27 septembre 1910,Aveyron,Aveyron
3327,Auguste Le Coënt,24 septembre 1910,Côtes,Côtes
3328,Pierre Comte-Offenbach,23 septembre 1910,Seine,Paris
3329,Gaston Defferre,14 septembre 1910,Hérault,Inconnu
3330,Emile Durand,9 septembre 1910,Gironde,Inconnu
3331,"Arsène, Louis Boulay",5 septembre 1910,Inconnu,Inconnu
3332,Simone Rollin Née Norbert,5 septembre 1910,Charente-Inférieure,Hérault
3333,Maurice Papon,3 septembre 1910,Inconnu,Inconnu
3334,Robert Valbrun,2 septembre 1910,Nord,Nord
3335,"René, Henri, Raymond, Joseph Monnier",2 septembre 1910,Mayenne,Mayenne
3336,Joseph Wasmer,1er septembre 1910,Haut-Rhin,Haut-Rhin
3337,"René, Sylvain, Edouard Billères",29 août 1910,Hautes-Pyrénées,Hautes-Pyrénées
3338,Pierre Caurier,29 août 1910,Marne,Marne
3339,Louis-Paul Aujoulat,28 août 1910,Paris,Inconnu
3340,Joseph Hertel,24 août 1910,Seine-Inférieure,Seine-Maritime
