,Département de naissance,Département de mort,Nom
0,Inconnu,Inconnu,Jean-Pierre Gorges
0,Nord,Inconnu,Marc-Philippe Daubresse
0,Bas-Rhin,Inconnu,Arlette Grosskost
0,Inconnu,Inconnu,Jean-Charles Taugourdeau
0,Inconnu,Inconnu,Jean-Jacques Cottel
0,Ain,Inconnu,Jean de Gaulle
0,Inconnu,Inconnu,Edith Gueugneau
0,Vienne,Loire-Atlantique,Jean-Pierre Fougerat
0,Alpes-Maritimes,Inconnu,Jean-Jacques Bridey
0,Finistère,Inconnu,Marie-Thérèse Le Roy
0,Alpes-Maritimes,Inconnu,"Michel, Jean, Eli Rossi"
0,Haute-Garonne,Inconnu,Brigitte Barèges
0,Inconnu,Inconnu,François Sauvadet
0,Vendée,Inconnu,Jacques Percereau
0,Inconnu,Inconnu,Patricia Adam
0,Eure,Inconnu,Patrick Beaudouin
0,Pyrénées-Orientales,Inconnu,François Calvet
0,Aude,Inconnu,Jacques Bascou
0,Inconnu,Inconnu,Olivier Jardé
0,Pyrénées-Orientales,Inconnu,Jacques Domergue
0,Allier,Inconnu,Jean Gravier
0,Inconnu,Inconnu,Maud Olivier
0,Drôme,Inconnu,Michèle Rivasi
0,Martinique,Inconnu,Serge Letchimy
0,Seine,Inconnu,Jean-Marie Le Guen
0,Hautes-Pyrénées,Inconnu,Philippe Douste-Blazy
0,Inconnu,Inconnu,Roland Garrigues
0,Inconnu,Inconnu,Martine David
0,Ardennes,Inconnu,Philippe Mathot
0,Oise,Inconnu,Patrice Carvalho
0,Somme,Inconnu,Jacques Richir
0,Vendée,Inconnu,Jacques Savatier
0,Inconnu,Inconnu,Gilles Cocquempot
0,Nord,Inconnu,Marc Dolez
0,Nord,Inconnu,Jean-Pierre Decool
0,Creuse,Inconnu,Gérard Dubrac
0,Inconnu,Inconnu,Martine Billard
0,Cher,Inconnu,Louis Cosyns
0,Inconnu,Inconnu,Joseph Rossignol
0,Meurthe,Inconnu,Jacques Lamblin
0,Allier,Inconnu,Jean Mallot
0,Inconnu,Inconnu,Catherine Picard
0,Calvados,Inconnu,Dominique Robert
0,Doubs,Doubs,Claude Girard
0,Nord,Inconnu,Jean Launay
0,Seine,Inconnu,Françoise de Salvador
0,Nord,Inconnu,Bernard Roman
0,Inconnu,Inconnu,Dominique Bussereau
0,Lot,Inconnu,Michel Issindou
0,Nord,Nord,Fabien Thiémé
0,Calvados,Inconnu,Nicole Ameline
0,Nord,Inconnu,Rémi Pauvros
0,Gironde,Inconnu,Jérôme Cahuzac
0,Gers,Inconnu,Gisèle Biémouret
0,Inconnu,Inconnu,Didier Migaud
0,Inconnu,Inconnu,Jean-Claude Leroy
0,Manche,Inconnu,Michel Lesage
0,Haute-Vienne,Inconnu,Marie-Françoise Pérol-Dumont
0,Inconnu,Inconnu,Didier Mathus
0,Manche,Inconnu,Patrick Lemasle
0,Inconnu,Inconnu,Marguerite Deprez-Audebert
0,Inconnu,Inconnu,Claude Bodin
0,Inconnu,Inconnu,Patrick Sève
0,Aube,Inconnu,Gérard Menuel
0,Inconnu,Inconnu,Bernard de Froment
0,Loiret,Lieu,Jean-Paul Charié
0,Seine,Inconnu,Jacques Alain Bénisti
0,Inconnu,Inconnu,Michel Sapin
0,Seine,Inconnu,Béatrice Marre
0,Seine,Inconnu,Charles De Courson
0,Bas-Rhin,Inconnu,Gilbert Maurer
0,Loire-Inférieure,Loire-Atlantique,René Leroux
0,Inconnu,Inconnu,Yves Albarello
0,Essonne,Inconnu,Dominique Orliac
0,Nord,Inconnu,Alain Bruneel
0,Inconnu,Inconnu,Martine Lignières-Cassou
0,Inconnu,Inconnu,Jean-Pierre Cave
